"","county_fips","total_flu","total_asymp_flu","percent_asymp_flu","percent_5_12_flu","percent_18_49_flu","percent_0_4_flu","percent_50_64_flu","percent_65_plus_flu","percent_13_17_flu","percent_female_flu","percent_white_flu","percent_black_flu","percent_hispanic_flu","percent_asian_flu","total_covid","total_rsv","total_all_cause","avg_temp","avg_humidity","percent_poor_health","days_poor_mental_health","percent_obese","rate_doctors","percent_unemployed","life_expectancy","percent_mental_distress","median_hh_income","population","percent_rural","percent_vaccinated","icu_beds","percent_asymp_flu_log","percent_asymp_flu_scale","percent_flu","percent_rsv","percent_covid","rate_icu_beds","median_hh_income_scale","population_scale","percent_65_plus_flu_scale","percent_white_flu_scale","percent_female_flu_scale","percent_poor_health_scale","percent_obese_scale","percent_mental_distress_scale","percent_rural_scale","percent_vaccinated_scale"
"1","01001",130,40,0.307692307692308,0.146153846153846,0.223076923076923,0.0769230769230769,0.138461538461538,0.323076923076923,0.0923076923076923,0.646153846153846,0.9125,0.075,0.0125,0,176,27,18360,66.1693536916529,70.5787875721702,0.173,5.7032041246,0.389,43.99695,0.0226958826,75.263497074,0.18,70148,59759,0.406768132,0.37,6,3.42651518964645,30.7692307692308,7.08061002178649,1.47058823529412,9.58605664488018,10.0403286534246,7.0148,0.59759,32.3076923076923,91.25,64.6153846153846,17.3,38.9,18,40.6768132,37
"2","01003",382,139,0.363874345549738,0.157068062827225,0.209424083769634,0.0785340314136126,0.154450261780105,0.298429319371728,0.102094240837696,0.526178010471204,0.879120879120879,0.0769230769230769,0.0384615384615385,0.0054945054945055,539,57,64594,69.2820930848942,76.631420794374,0.152,5.3736661513,0.372,62.6844,0.0235004716,76.738313887,0.173,71704,246435,0.3758645536,0.42,51,3.59422351051221,36.3874345549738,5.9138619686039,0.882434901074403,8.34442827507199,20.6951123014182,7.1704,2.46435,29.8429319371728,87.9120879120879,52.6178010471204,15.2,37.2,17.3,37.58645536,42
"3","01005",14,6,0.428571428571429,0.142857142857143,0,0.142857142857143,0.285714285714286,0.428571428571429,0,0.785714285714286,0.875,0.125,0,0,59,2,6073,67.0369650107889,73.324468217049,0.273,6.0142940199,0.434,40.05768,0.0406504065,72.377024232,0.205,41151,24706,0.6591999366,0.35,5,3.75787232560089,42.8571428571429,2.30528569076239,0.32932652725177,9.71513255392722,20.2379988666721,4.1151,0.24706,42.8571428571429,87.5,78.5714285714286,27.3,43.4,20.5,65.91999366,35
"4","01007",59,30,0.508474576271186,0.0677966101694915,0.271186440677966,0.0169491525423729,0.11864406779661,0.474576271186441,0.0508474576271186,0.440677966101695,0.829268292682927,0.146341463414634,0.024390243902439,0,127,2,7521,65.2706975838828,71.4141087566479,0.22,5.8245833931,0.396,66.73488,0.02509741,72.251369089,0.194,54309,22005,1,0.28,0,3.92883012374453,50.8474576271186,7.84470150245978,0.265922084829145,16.8860523866507,0,5.4309,0.22005,47.4576271186441,82.9268292682927,44.0677966101695,22,39.6,19.4,100,28
"5","01009",149,46,0.308724832214765,0.187919463087248,0.268456375838926,0.0469798657718121,0.114093959731544,0.288590604026846,0.0939597315436242,0.577181208053691,0.846153846153846,0.0897435897435897,0.0641025641025641,0,270,13,15297,63.1890854879643,71.3905857672153,0.186,5.6648506119,0.377,20.32486,0.0222515119,73.376568119,0.188,60553,59512,0.9048939696,0.36,6,3.42986527653173,30.8724832214765,9.7404719879715,0.849839837876708,17.650519709747,10.0820002688533,6.0553,0.59512,28.8590604026846,84.6153846153846,57.7181208053691,18.6,37.7,18.8,90.48939696,36
"6","01011",10,4,0.4,0,0.2,0.2,0.1,0.3,0.2,0.6,0,1,0,0,46,0,2624,67.4104589747211,70.3186981593937,0.307,5.9731447807,0.489,19.37984,0.0281071585,72.100111622,0.205,35798,10202,1,0.28,0,3.68887945411394,40,3.8109756097561,0,17.530487804878,0,3.5798,0.10202,30,0,60,30.7,48.9,20.5,100,28
"7","01013",74,44,0.594594594594595,0.108108108108108,0.22972972972973,0.108108108108108,0.0675675675675676,0.405405405405405,0.0810810810810811,0.689189189189189,0.583333333333333,0.333333333333333,0.0833333333333333,0,110,3,6272,64.9212889885412,75.5071220024923,0.234,6.0808851568,0.42,26.47744,0.034189005,73.1898895,0.199,41852,18650,0.6943467535,0.29,7,4.08529472670218,59.4594594594595,11.7984693877551,0.478316326530612,17.5382653061224,37.5335120643432,4.1852,0.1865,40.5405405405405,58.3333333333333,68.9189189189189,23.4,42,19.9,69.43467535,29
"8","01015",824,229,0.277912621359223,0.223300970873786,0.211165048543689,0.163834951456311,0.115291262135922,0.156553398058252,0.129854368932039,0.524271844660194,0.72280701754386,0.210526315789474,0.0526315789473684,0.0140350877192982,731,141,65428,63.49490146725,73.3495599363802,0.208,5.6966110465,0.389,58.63484,0.0303207629,71.694077832,0.191,52772,115788,0.3649401843,0.34,24,3.32472165963286,27.7912621359223,12.5939964541175,2.1550406553769,11.1725866601455,20.7275365322831,5.2772,1.15788,15.6553398058252,72.280701754386,52.4271844660194,20.8,38.9,19.1,36.49401843,34
"9","01017",47,19,0.404255319148936,0.148936170212766,0.25531914893617,0.0638297872340425,0.297872340425532,0.170212765957447,0.0638297872340425,0.595744680851064,0.8,0.2,0,0,93,0,7426,65.7269246334372,72.1146236423382,0.22,5.8122116703,0.439,40.53154,0.0257327559,72.46019745,0.195,45563,34088,0.5074485218,0.41,0,3.69946156344447,40.4255319148936,6.32911392405063,0,12.5235658497172,0,4.5563,0.34088,17.0212765957447,80,59.5744680851064,22,43.9,19.5,50.74485218,41
"10","01019",222,68,0.306306306306306,0.310810810810811,0.207207207207207,0.121621621621622,0.0900900900900901,0.0945945945945946,0.175675675675676,0.554054054054054,0.807692307692308,0.134615384615385,0.0576923076923077,0,144,35,9253,61.538182293845,75.8861383253558,0.206,6.2288247593,0.378,44.00704,0.0234268126,72.711629744,0.201,52613,25302,1,0.43,0,3.42200050929192,30.6306306306306,23.9922187398682,3.78255700853777,15.5625202636983,0,5.2613,0.25302,9.45945945945946,80.7692307692308,55.4054054054054,20.6,37.8,20.1,100,43
